INSTANCE,MEMORY_REQUIRED,TOTAL_2D_GRIDPOINTS,TOTAL_3D_GRIDPOINTS,p1,p2,p4,p8,p16,p32,p64
LunskoyeV2005_08_none_none,100,9,36,0,0,0,0,0,0,0
BIM9474FracturePressure_none_none,100,4,48,0,0,0,,,,
F3_Salt_none_none,100,4,208,0,0,0,,,,
F3_SeaBed_none_none,100,4,208,0,0,0,,,,
89_Acquifer_mig_ScaleXY_8,100,9,477,1,0.5,0.428571429,,,,
Acquifer-00M03_ScaleXY_8,100,9,477,1,0.5,0.2,,3.80E-05,,
LwrRachmat_ScaleXY_8,100,36,1548,1,0.925925926,0.961538462,0.568181818,0.367647059,,
LargeSMTest_ScaleXY_8,100,108,1836,1,0.545454545,0.6,0.285714286,0.222222222,0.139534884,
89_Acquifer_mig_ScaleXY_4,100,36,1980,1,0.333333333,0.285714286,0.181818182,0.133333333,,
Acquifer-00M03_ScaleXY_4,100,36,1980,1,1,0.2,0.125,0.090909091,,
HPHTLwrRchLwTOC_ScaleXY_8,100,49,2058,1,,0.615384615,0.347826087,0.14953271,,
0FaultTest01_ScaleXY_8,100,384,2304,0,0,0,0,0,0,0
AMT_IO_Pressure_Model_ScaleXY_8,100,72,2736,1,0.764705882,0.619047619,0.361111111,0.236363636,0.136842105,
LunskoyeV2005_08_ScaleXY_8,100,713,2852,0,0,0,0,0,0,0
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8,100,72,3240,1,0.875,0.823529412,0.482758621,0.070707071,,
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8,100,72,3240,1,0.625,0.588235294,0.333333333,0.188679245,0.09009009,
project5-00M38_ScaleXY_8,100,120,3720,1,0.590909091,0.565217391,0.245283019,0.166666667,0.103174603,
HB_test_sand_none_none,100,202,4646,1,0.129032258,0.142857143,0.266666667,0.153846154,0.137931034,0.1
AdvectionFault_ScaleXY_2,100,289,5202,1,0.625,0.555555556,0.357142857,0.238095238,0.131578947,0.089285714
TS_3D_COUPLED_SGI_ScaleXY_2,100,121,5445,1,,,,,,
LwrRachmat_ScaleXY_4,100,144,6336,1,0.68,0.607142857,0.333333333,0.204819277,,
89_Acquifer_mig_ScaleXY_2,100,121,6655,1,0.5,0.428571429,0.1875,0.214285714,0.107142857,0.075
Acquifer-00M03_ScaleXY_2,100,121,6655,1,1,0.4,0.25,0.153846154,,
Friesian_ScaleXY_8,100,108,6804,1,0.134831461,0.666666667,0.413793103,0.272727273,0.104347826,
FriesianSMTest_ScaleXY_8,100,108,6804,1,2,,,,,
HPHTLwrRchLwTOC_ScaleXY_4,100,169,7098,1,0.363636364,0.592592593,0.242424242,0.197530864,0.110344828,
LargeSMTest_ScaleXY_4,100,432,7344,1,0.538461538,0.583333333,0.466666667,0.212121212,0.175,0.162790698
SimpleSMTest_none_none,100,441,7497,1,0.126984127,0.087912088,0.533333333,0.333333333,0.173913043,
0FaultTest01_ScaleXY_4,100,1504,9024,0,0,0,0,0,0,0
AMT_IO_Pressure_Model_ScaleXY_4,100,255,9945,1,0.823529412,0.736842105,0.29787234,0.122807018,0.112903226,
CA1_scenario2_ScaleXY_8,100,240,10560,1,0.121673004,0.680851064,0.372093023,0.188235294,0.124513619,
AANVG_Reduced_TCalib5Small_ScaleXY_8,100,384,10752,1,0.111111111,0.4,0.285714286,0.2,0.1,
LunskoyeV2005_08_ScaleXY_4,100,2745,10980,0,0,0,0,0,0,0
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4,100,255,11730,1,0.75,0.705882353,0.4,0.272727273,0.166666667,
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4,100,255,11730,1,0.6875,0.611111111,0.379310345,0.2,0.090163934,
AMT2007_SandLayers_L4GL_FULL_isolated_none_none,100,400,13200,1,0.75,0.666666667,0.4,0.266666667,0.155844156,0.028503563
AdvecTest_ScaleXY_2,100,676,14872,1,0.25,0.2,0.142857143,0.111111111,0.066666667,
AdvectionErosionTest_ScaleXY_2,100,676,14872,1,0.25,0.2,0.166666667,0.111111111,0.0625,0.047619048
TemperatureErosionTest_ScaleXY_2,100,676,14872,1,5.3,5.3,2.65,5.3,3.3125,
Greater_Mars_Ursa_ScaleXY_8,100,160,15200,1,0.131578947,0.652173913,0.394736842,0.230769231,0.104895105,
Vicksburg_Release_ScaleXY_8,100,480,15360,1,0.666666667,0.727272727,0.533333333,0.181818182,0.222222222,0.153846154
project5-00M38_ScaleXY_4,100,480,15840,1,0.727272727,0.666666667,0.166666667,0.192771084,0.125,0.082901554
rashda_june4_ScaleXY_8,100,336,19152,1,2,,,,,
AdvectionFault_none_none,100,1089,19602,1,0.75,0.666666667,0.461538462,0.285714286,0.162162162,0.113207547
TS_3D_COUPLED_SGI_none_none,100,441,19845,1,0.111111111,0.583333333,0.388888889,0.28,0.145833333,
SAUDI1_ScaleXY_4,100,744,22320,1,0.095639944,0.104776579,0.065321806,0.377777778,0.131021195,
Tutorial_ScaleXY_2,100,729,23328,1,1.58974359,4.325581395,2.90625,5.470588235,3.509433962,
89_Acquifer_mig_none_none,100,441,24255,1,1.333333333,0.5,0.307692308,0.222222222,0.129032258,0.095238095
Acquifer-00M03_none_none,100,441,24255,1,0.25,0.5,0.142857143,0.090909091,0.055555556,0.05
