INSTANCE  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
0FaultTest01_ScaleXY_4 --- 0:00:05 0:00:03 0:00:04 0:00:04 0:00:06 0:00:18 
0FaultTest01_ScaleXY_8 --- 0:00:05 0:00:03 0:00:04 0:00:04 0:00:06 0:00:09 
0FaultTest01_none_none 0:00:02 0:00:06 0:00:04 0:00:04 0:00:04 0:00:06 0:00:10 
30_30_Regional_A_ScaleXY_2 0:03:53 0:06:28 0:02:39 0:02:25 0:05:20 0:03:56 0:07:56 
30_30_Regional_A_ScaleXY_4 0:01:16 0:04:55 0:01:11 0:01:27 0:02:20 0:03:38 0:07:06 
30_30_Regional_A_ScaleXY_8 0:00:45 0:04:08 0:00:50 0:01:25 0:01:12 0:12:48 0:06:57 
30_30_Regional_A_none_none 0:15:42 0:13:55 0:08:05 0:06:12 0:05:23 0:06:30 0:09:21 
89_Acquifer_mig_ScaleXY_2 0:00:03 0:00:06 0:00:07 0:00:16 0:00:14 0:00:28 0:00:40 
89_Acquifer_mig_ScaleXY_4 0:00:02 0:00:06 0:00:07 0:00:11 0:00:15 --- --- 
89_Acquifer_mig_ScaleXY_8 0:00:03 0:00:06 0:00:07 --- --- --- --- 
89_Acquifer_mig_none_none 0:00:04 0:00:03 0:00:08 0:00:13 0:00:18 0:00:31 0:00:42 
AANVG_Reduced_TCalib5Small_ScaleXY_2 0:00:11 0:00:39 0:00:11 0:00:16 0:00:22 0:00:41 0:01:46 
AANVG_Reduced_TCalib5Small_ScaleXY_4 0:00:06 0:00:36 0:00:09 0:00:14 0:00:29 0:00:38 0:00:57 
AANVG_Reduced_TCalib5Small_ScaleXY_8 0:00:04 0:00:36 0:00:10 0:00:14 0:00:20 0:00:40 --- 
AANVG_Reduced_TCalib5Small_none_none 0:00:36 0:00:54 0:00:20 0:00:23 0:00:28 0:00:52 0:01:02 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2 0:00:12 0:00:17 0:00:20 0:00:33 0:00:47 0:01:37 0:02:10 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4 0:00:12 0:00:16 0:00:17 0:00:30 0:00:44 0:01:12 --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8 0:00:14 0:00:16 0:00:17 0:00:29 0:03:18 --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_none_none 0:00:12 0:00:16 0:00:18 0:00:30 0:00:45 0:01:17 0:07:01 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 0:00:12 0:00:17 0:00:18 0:00:30 0:00:45 0:01:14 0:02:11 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4 0:00:11 0:00:16 0:00:18 0:00:29 0:00:55 0:02:02 --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8 0:00:10 0:00:16 0:00:17 0:00:30 0:00:53 0:01:51 --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none 0:00:21 0:00:21 0:00:22 0:00:32 0:01:22 0:01:43 0:02:45 
AMT_IO_Pressure_Model_ScaleXY_2 0:00:16 0:00:17 0:00:20 0:00:36 0:01:34 0:02:01 0:02:30 
AMT_IO_Pressure_Model_ScaleXY_4 0:00:14 0:00:17 0:00:19 0:00:47 0:01:54 0:02:04 --- 
AMT_IO_Pressure_Model_ScaleXY_8 0:00:13 0:00:17 0:00:21 0:00:36 0:00:55 0:01:35 --- 
AMT_IO_Pressure_Model_none_none 0:00:21 0:00:24 0:00:25 0:00:40 0:00:56 0:01:35 0:02:25 
Acquifer-00M03_ScaleXY_2 0:00:02 0:00:02 0:00:05 0:00:08 0:00:13 --- --- 
Acquifer-00M03_ScaleXY_4 0:00:01 0:00:01 0:00:05 0:00:08 0:00:11 --- --- 
Acquifer-00M03_ScaleXY_8 0:00:01 0:00:02 0:00:05 --- 7:18:56 --- --- 
Acquifer-00M03_none_none 0:00:01 0:00:04 0:00:02 0:00:07 0:00:11 0:00:18 0:00:20 
AdvecTest_ScaleXY_2 0:00:01 0:00:04 0:00:05 0:00:07 0:00:09 0:00:15 0:01:35 
AdvecTest_none_none 0:00:03 0:00:05 0:00:05 0:00:07 0:00:09 0:00:15 0:00:21 
AdvectionErosionTest_ScaleXY_2 0:00:01 0:00:04 0:00:05 0:00:06 0:00:09 0:00:16 0:00:21 
AdvectionErosionTest_none_none 0:00:02 0:00:05 0:00:05 0:00:07 0:00:09 0:00:15 0:01:23 
AdvectionFault_ScaleXY_2 0:00:05 0:00:08 0:00:09 0:00:14 0:00:21 0:00:38 0:00:56 
AdvectionFault_none_none 0:00:06 0:00:08 0:00:09 0:00:13 0:00:21 0:00:37 0:00:53 
AlphaTestFullRes_ScaleXY_2 0:00:15 0:00:18 0:00:17 0:00:29 0:00:50 0:01:57 0:02:13 
AlphaTestFullRes_none_none 0:00:15 0:00:19 0:00:20 0:00:28 0:00:50 0:01:28 0:02:07 
BIM9474FracturePressure_none_none --- 0:00:03 0:00:03 --- --- --- --- 
BigProject-44M18_ScaleXY_2 --- --- 0:01:55 0:01:19 0:01:05 0:00:53 0:03:14 
BigProject-44M18_ScaleXY_4 0:01:04 0:00:47 0:00:36 0:00:24 0:00:22 0:00:32 0:00:37 
BigProject-44M18_ScaleXY_8 0:00:18 0:00:17 0:00:14 0:00:15 0:00:20 0:01:13 0:00:35 
BigProject-44M18_none_none --- --- --- --- 0:03:25 0:02:30 0:02:39 
BrowseExtensionHigh3_ScaleXY_2 --- --- 0:30:23 0:14:49 0:11:09 0:10:01 0:12:41 
BrowseExtensionHigh3_ScaleXY_4 0:11:20 0:11:30 0:05:22 0:04:27 0:05:43 0:06:02 0:07:21 
BrowseExtensionHigh3_ScaleXY_8 0:02:33 0:04:12 0:01:39 0:02:17 0:02:53 0:04:36 0:06:21 
BrowseExtensionHigh3_none_none --- --- --- --- 0:53:54 0:26:44 0:21:49 
CA1_scenario2_ScaleXY_2 0:00:59 0:04:08 0:00:58 0:01:46 0:02:47 0:09:50 0:06:01 
CA1_scenario2_ScaleXY_4 0:00:39 0:04:21 0:00:51 0:01:27 0:02:16 0:04:39 0:06:06 
CA1_scenario2_ScaleXY_8 0:00:32 0:04:23 0:00:47 0:01:26 0:02:50 0:04:17 --- 
CA1_scenario2_none_none 0:01:51 0:05:15 0:01:24 0:01:52 0:03:00 0:05:17 0:06:56 
F3_Salt_none_none --- 0:00:03 0:00:03 --- --- --- --- 
F3_SeaBed_none_none --- 0:00:03 0:00:03 --- --- --- --- 
FriesianSMTest_ScaleXY_2 0:00:30 0:01:45 --- --- --- --- --- 
FriesianSMTest_ScaleXY_4 --- 0:01:32 --- --- --- --- --- 
FriesianSMTest_ScaleXY_8 --- 0:01:43 --- --- --- --- --- 
FriesianSMTest_none_none 0:00:42 0:01:58 --- --- --- --- --- 
Friesian_ScaleXY_2 0:00:21 0:01:34 0:00:25 0:00:41 0:01:20 0:01:44 0:02:12 
Friesian_ScaleXY_4 0:00:13 0:01:30 0:00:27 0:00:30 0:00:51 0:01:44 0:02:11 
Friesian_ScaleXY_8 0:00:12 0:01:29 0:00:18 0:00:29 0:00:44 0:01:55 --- 
Friesian_none_none 0:00:39 0:01:23 0:00:30 0:00:38 0:00:56 0:01:46 0:02:19 
Greater_Mars_Ursa_ScaleXY_2 0:00:27 0:02:07 0:00:26 0:00:39 0:01:00 --- 0:02:48 
Greater_Mars_Ursa_ScaleXY_4 0:00:19 0:01:55 0:00:24 0:00:36 0:01:34 0:01:50 0:02:46 
Greater_Mars_Ursa_ScaleXY_8 0:00:15 0:01:54 0:00:23 0:00:38 0:01:05 0:02:23 --- 
Greater_Mars_Ursa_none_none 0:01:11 0:02:04 0:00:50 0:00:57 0:01:29 0:02:13 0:03:06 
Gron_Olaf_nod_newHC_ScaleXY_2 0:03:52 0:04:32 0:06:58 0:06:21 --- 0:37:24 0:18:10 
Gron_Olaf_nod_newHC_ScaleXY_4 0:02:35 0:03:05 0:05:47 0:06:00 0:09:54 0:12:54 0:15:36 
Gron_Olaf_nod_newHC_ScaleXY_8 0:02:00 0:05:08 0:05:55 0:08:31 0:07:36 0:09:56 0:16:19 
Gron_Olaf_nod_newHC_none_none 0:09:09 0:09:55 0:10:30 0:11:30 0:10:53 0:14:28 0:24:06 
HB_test_sand_none_none 0:00:04 0:00:31 0:00:28 0:00:15 0:00:26 0:00:29 0:00:40 
HPHTLwrRchLwTOC_ScaleXY_2 0:00:24 0:00:40 0:00:36 0:00:52 0:01:23 0:02:08 0:03:09 
HPHTLwrRchLwTOC_ScaleXY_4 0:00:16 0:00:44 0:00:27 0:01:06 0:01:21 0:02:25 --- 
HPHTLwrRchLwTOC_ScaleXY_8 0:00:16 --- 0:00:26 0:00:46 0:01:47 --- --- 
HPHTLwrRchLwTOC_none_none 0:00:27 0:00:30 0:00:32 --- 0:02:39 0:02:40 0:03:15 
Hohonu_2d_v1_200mA_none_none 0:00:35 0:00:33 0:00:57 0:01:12 0:01:52 0:02:59 0:04:29 
IOtest-95M00_ScaleXY_2 --- --- --- 0:12:38 0:08:16 0:06:50 0:05:39 
IOtest-95M00_ScaleXY_4 --- 0:08:24 0:05:06 0:02:59 0:02:26 0:02:38 0:07:53 
IOtest-95M00_ScaleXY_8 0:03:13 0:01:49 0:01:13 0:00:55 0:01:00 0:01:02 0:01:13 
IOtest-95M00_none_none --- --- --- --- --- 0:19:38 0:13:25 
K3AllSand_ScaleXY_2 0:01:07 0:01:15 0:00:58 0:01:06 0:01:52 0:02:37 0:03:52 
K3AllSand_ScaleXY_4 0:00:36 0:00:46 0:00:58 0:00:54 0:02:01 0:02:30 0:03:37 
K3AllSand_ScaleXY_8 0:00:33 0:00:45 0:00:31 0:00:50 0:01:38 0:02:23 0:03:45 
K3AllSand_none_none 0:02:45 0:02:22 0:01:42 0:01:55 0:02:12 0:03:07 0:04:04 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 0:01:35 0:01:28 0:01:12 0:01:09 0:01:44 0:02:36 0:03:39 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 0:00:51 0:00:52 0:00:39 0:00:56 0:01:38 0:02:33 0:03:34 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 0:00:26 0:00:34 0:00:31 0:00:49 0:01:28 0:02:32 0:03:30 
K3_CBM_DIONISOS_SAND1_none_none 0:03:42 0:03:01 0:01:58 0:01:53 0:02:10 0:02:53 0:04:03 
L2_Mdst50Pct_NonGeoLoop_none_none 0:00:56 0:01:03 0:01:11 0:01:46 0:03:08 0:04:23 --- 
LargeSMTest_ScaleXY_2 0:00:09 0:00:14 0:00:12 0:00:21 0:00:25 0:00:44 0:01:18 
LargeSMTest_ScaleXY_4 0:00:07 0:00:13 0:00:12 0:00:15 0:00:33 0:00:40 0:00:43 
LargeSMTest_ScaleXY_8 0:00:06 0:00:11 0:00:10 0:00:21 0:00:27 0:00:43 --- 
LargeSMTest_none_none 0:00:13 0:00:17 0:00:14 0:00:17 0:00:26 0:00:47 0:01:05 
LunskoyeDeepHT_ScaleXY_2 0:00:24 0:00:23 0:00:19 0:00:21 0:00:34 0:00:52 0:01:03 
LunskoyeDeepHT_ScaleXY_4 0:00:09 0:00:14 0:00:13 0:00:17 0:00:32 0:00:47 0:01:04 
LunskoyeDeepHT_ScaleXY_8 0:00:06 0:00:10 0:00:10 0:00:16 0:00:31 0:00:45 0:01:01 
LunskoyeDeepHT_none_none --- 0:01:11 0:00:46 0:00:43 0:00:47 0:01:01 0:01:17 
