INSTANCE  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
0FaultTest01_ScaleXY_4 0:00:04 0:00:07 0:00:09 --- 0:00:11 0:00:07 0:00:31 0:00:22 
0FaultTest01_ScaleXY_8 0:00:04 0:00:07 0:00:07 --- 0:00:07 0:00:17 0:00:34 0:00:30 
0FaultTest01_none_none 0:00:04 0:00:07 0:00:07 --- 0:00:07 0:00:08 0:00:44 0:00:50 
30_30_Regional_A_ScaleXY_2 0:44:58 0:27:18 0:18:36 --- 0:10:52 0:08:01 0:05:15 0:09:53 
30_30_Regional_A_ScaleXY_4 0:12:36 0:08:56 0:05:21 --- 0:03:36 0:03:28 0:03:41 0:10:51 
30_30_Regional_A_ScaleXY_8 0:04:03 0:04:13 0:02:07 --- 0:01:50 0:02:55 0:09:04 0:08:00 
30_30_Regional_A_none_none 3:02:40 --- 1:08:24 --- --- 0:23:57 0:15:45 0:13:32 
89_Acquifer_mig_ScaleXY_2 0:00:14 0:00:21 0:00:26 --- 0:00:32 0:01:44 0:02:18 0:01:38 
89_Acquifer_mig_ScaleXY_4 0:00:10 0:00:21 0:00:23 --- 0:00:28 0:00:40 --- --- 
89_Acquifer_mig_ScaleXY_8 0:00:09 0:00:20 0:00:27 --- --- --- --- --- 
89_Acquifer_mig_none_none 0:00:28 0:00:28 0:00:28 --- 0:00:36 0:00:38 0:00:43 0:03:06 
AANVG_Reduced_TCalib5Small_ScaleXY_2 0:03:59 0:02:18 0:01:14 --- 0:00:49 0:01:14 0:01:12 0:05:12 
AANVG_Reduced_TCalib5Small_ScaleXY_4 0:01:06 0:00:54 0:00:31 --- 0:00:41 0:00:50 0:00:57 0:06:25 
AANVG_Reduced_TCalib5Small_ScaleXY_8 0:00:22 0:00:31 0:00:18 --- 0:00:21 0:00:41 0:00:32 --- 
AANVG_Reduced_TCalib5Small_none_none 0:15:33 0:08:03 0:04:02 --- 0:02:19 0:01:45 0:01:49 0:01:38 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2 0:00:07 0:00:12 0:00:12 --- 0:00:16 0:00:25 0:00:43 0:01:06 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4 0:00:06 0:00:09 0:00:10 --- 0:00:13 0:00:20 0:00:37 --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8 0:00:05 0:00:08 0:00:10 --- 0:00:12 0:00:21 0:00:40 --- 
AMT2007_SandLayers_L4GL_FULL_isolated_none_none 0:00:06 0:00:09 0:00:11 --- 0:00:14 0:00:19 0:00:42 0:01:03 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 0:00:07 0:00:11 0:00:12 --- 0:00:15 0:00:21 0:00:38 0:01:03 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4 0:00:07 0:00:09 0:00:11 --- 0:00:13 0:00:19 0:00:37 --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8 0:00:05 0:00:09 0:00:10 --- 0:01:16 0:00:51 0:01:08 --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none 0:00:11 0:00:13 0:00:13 --- 0:00:16 0:00:25 0:00:46 0:01:06 
AMT_IO_Pressure_Model_ScaleXY_2 0:00:09 0:00:13 0:00:14 --- 0:00:16 0:00:22 0:00:40 0:01:08 
AMT_IO_Pressure_Model_ScaleXY_4 0:00:07 0:00:10 0:00:33 --- 0:00:22 0:00:21 0:00:35 0:00:30 
AMT_IO_Pressure_Model_ScaleXY_8 0:00:05 0:00:10 0:00:10 --- 0:00:13 0:00:19 0:00:39 --- 
AMT_IO_Pressure_Model_none_none 0:00:13 0:00:15 0:00:16 --- 0:00:21 0:00:28 0:00:40 0:00:28 
Acquifer-00M03_ScaleXY_2 0:00:11 0:00:16 0:00:19 --- 0:00:19 0:00:28 --- --- 
Acquifer-00M03_ScaleXY_4 0:00:07 0:00:14 0:00:17 --- 0:00:18 0:00:28 --- --- 
Acquifer-00M03_ScaleXY_8 0:00:07 0:00:14 0:00:15 --- --- --- --- --- 
Acquifer-00M03_none_none 0:00:24 0:00:23 0:00:20 --- 0:00:20 0:00:34 0:00:48 0:01:46 
AdvecTest_ScaleXY_2 0:00:05 0:00:08 0:00:09 --- 0:00:12 0:00:18 0:00:29 0:01:11 
AdvecTest_none_none 0:00:05 0:00:09 0:00:10 --- 0:00:13 0:00:18 0:00:37 0:00:55 
AdvectionErosionTest_ScaleXY_2 0:00:04 0:00:08 0:00:09 --- 0:00:12 0:00:17 0:00:32 0:01:02 
AdvectionErosionTest_none_none 0:00:05 0:00:10 0:00:09 --- 0:00:12 0:00:19 0:00:36 0:01:21 
AdvectionFault_ScaleXY_2 0:00:05 0:00:08 0:00:11 --- 0:00:12 0:00:19 0:00:34 0:01:02 
AdvectionFault_none_none 0:00:05 0:00:10 0:00:11 --- 0:00:13 0:00:20 0:00:34 0:01:03 
AlphaTestFullRes_ScaleXY_2 0:02:55 0:01:49 0:05:53 --- 0:06:55 0:09:24 0:16:20 0:04:29 
AlphaTestFullRes_none_none --- --- --- --- --- 1:09:33 0:21:02 0:05:00 
BIM9474FracturePressure_none_none 0:00:04 0:00:07 0:00:08 --- --- --- --- --- 
BigProject-44M18_ScaleXY_2 --- 0:00:18 0:00:14 --- 0:00:20 --- 0:00:37 0:01:07 
BigProject-44M18_ScaleXY_4 0:00:18 --- --- --- 0:00:23 0:00:24 0:00:41 0:01:05 
BigProject-44M18_ScaleXY_8 0:00:07 0:00:11 0:00:11 --- 0:00:14 0:00:20 0:00:51 0:01:07 
BrowseExtensionHigh3_ScaleXY_8 0:14:55 0:10:03 0:08:16 --- 0:07:26 0:08:47 0:13:47 0:19:03 
CA1_scenario2_ScaleXY_2 0:13:03 0:10:48 0:05:35 --- 0:05:54 0:15:26 0:34:21 0:15:17 
CA1_scenario2_ScaleXY_4 0:04:09 0:05:49 0:03:37 --- 0:03:35 0:04:13 0:07:30 0:09:05 
CA1_scenario2_ScaleXY_8 0:01:35 0:04:09 0:02:26 --- 0:04:14 0:03:38 0:05:36 --- 
CA1_scenario2_none_none 0:43:42 0:43:03 0:16:06 --- 0:10:15 0:10:05 0:11:14 0:22:11 
F3_Salt_none_none 0:00:04 0:00:08 0:00:12 --- --- --- --- --- 
F3_SeaBed_none_none 0:00:04 0:00:07 0:00:08 --- --- --- --- --- 
FriesianSMTest_ScaleXY_2 0:01:30 0:01:54 --- --- --- --- --- --- 
FriesianSMTest_ScaleXY_4 0:01:54 --- --- --- --- --- --- --- 
Friesian_ScaleXY_2 0:01:29 0:02:27 0:02:15 --- 0:01:13 0:01:25 0:03:11 0:03:01 
Friesian_ScaleXY_4 0:00:51 0:00:46 0:00:59 --- 0:01:02 0:01:17 0:02:11 0:02:19 
Friesian_ScaleXY_8 0:00:22 0:00:56 0:00:55 --- 0:00:52 0:01:11 0:01:45 --- 
Friesian_none_none 0:05:04 0:03:39 0:01:49 --- 0:01:25 0:01:26 0:03:24 0:03:16 
Greater_Mars_Ursa_ScaleXY_2 0:03:46 0:04:55 0:01:50 --- 0:02:57 --- 0:04:04 0:07:47 
Greater_Mars_Ursa_ScaleXY_4 0:02:20 0:02:02 0:03:06 --- 0:03:32 0:03:04 0:03:55 0:06:44 
Greater_Mars_Ursa_ScaleXY_8 0:00:46 0:03:34 0:01:37 --- 0:02:01 0:02:44 0:03:50 --- 
Greater_Mars_Ursa_none_none 0:11:47 0:07:10 0:04:35 --- 0:04:31 0:04:42 0:06:03 0:09:04 
Gron_Olaf_nod_newHC_ScaleXY_2 2:24:38 1:45:57 --- --- 0:47:44 0:42:27 0:51:19 1:08:53 
Gron_Olaf_nod_newHC_ScaleXY_4 0:43:05 0:31:54 0:24:41 --- 0:25:20 0:23:47 0:29:40 0:58:57 
Gron_Olaf_nod_newHC_ScaleXY_8 0:14:20 0:18:04 0:11:08 --- 0:13:26 0:17:01 0:23:28 0:36:46 
Gron_Olaf_nod_newHC_none_none 8:47:37 5:33:05 2:59:54 --- 2:02:22 1:17:38 1:00:05 1:18:21 
HB_test_sand_none_none 0:00:04 0:00:08 0:00:14 --- 0:00:13 0:00:22 0:00:38 0:00:59 
HPHTLwrRchLwTOC_ScaleXY_2 0:00:38 0:00:43 0:00:57 --- 0:01:08 0:01:06 0:02:40 0:03:00 
HPHTLwrRchLwTOC_ScaleXY_4 0:00:21 0:00:39 0:00:39 --- 0:00:59 0:01:30 0:01:53 --- 
HPHTLwrRchLwTOC_ScaleXY_8 0:00:17 0:00:41 0:00:35 --- 0:00:43 0:01:26 --- --- 
HPHTLwrRchLwTOC_none_none 0:01:21 --- 0:00:51 --- 0:01:16 0:01:46 0:02:07 0:03:08 
Hohonu_2d_v1_200mA_none_none 0:05:29 0:09:45 0:10:00 --- 0:03:28 0:04:39 0:07:41 0:16:58 
IOtest-95M00_ScaleXY_2 0:00:25 0:00:29 0:00:23 --- 0:00:31 0:00:38 0:00:45 0:01:08 
IOtest-95M00_ScaleXY_4 --- --- 0:00:13 --- 0:00:14 0:00:24 0:00:43 0:01:09 
IOtest-95M00_ScaleXY_8 0:00:12 0:00:11 --- --- 0:00:15 0:00:20 0:00:37 0:00:35 
IOtest-95M00_none_none 0:00:13 0:00:19 0:00:23 --- 0:00:22 0:01:50 0:02:33 0:01:13 
K3AllSand_ScaleXY_2 --- --- 0:00:19 --- 0:00:22 0:00:31 0:00:42 0:01:09 
K3AllSand_ScaleXY_4 0:00:13 0:00:17 0:00:18 --- 0:00:20 0:00:27 0:00:34 0:00:26 
K3AllSand_ScaleXY_8 0:00:10 0:00:19 0:00:14 --- 0:00:17 0:00:18 0:00:34 0:01:03 
K3AllSand_none_none 0:00:58 --- --- --- 0:00:24 --- 0:01:08 0:01:06 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 0:00:23 0:00:21 --- --- 0:00:26 0:00:34 0:00:47 0:01:09 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 --- --- 0:00:20 --- 0:00:23 0:00:29 0:00:39 0:01:07 
