INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-6 cores-8 cores-16 cores-32 cores-64 
0FaultTest01_ScaleXY_2 100 --- 6348 5859 35154 1.0 0.576832165678 0.55657682523 --- 0.539997552856 0.503806817166 0.133297148836 0.156934710544 
0FaultTest01_ScaleXY_4 100 --- 2048 1504 9024 1.0 0.547337327206 0.447136801808 --- 0.361175688934 0.526015294652 0.131262813623 0.183878799407 
0FaultTest01_ScaleXY_8 100 --- 852 384 2304 1.0 0.524051228483 0.552021369777 --- 0.568504273235 0.232007054771 0.11815147131 0.130684143399 
0FaultTest01_none_none 100 --- 23552 23125 138750 1.0 0.560028548101 0.544179346332 --- 0.548946656176 0.491489191933 0.0911699794024 0.0796516814101 
30_30_Regional_A_ScaleXY_2 100 35 8283750 29029 2554552 1.0 1.64694967215 2.4170627836 --- 4.13328490183 5.61031781427 8.55464728538 4.54651345784 
30_30_Regional_A_ScaleXY_4 345 35 2097152 7344 616896 1.0 1.40993493643 2.35032679251 --- 3.4898929346 3.63284056827 3.41491403186 1.1605285365 
30_30_Regional_A_ScaleXY_8 100 35 545792 1836 148716 1.0 0.960666182549 1.91259557724 --- 2.20653081086 1.39158347634 0.44829898364 0.507546694994 
30_30_Regional_A_none_none 5430 35 33554432 115710 10413900 1.0 --- 2.67024810283 --- --- 7.62559385274 11.5881484709 13.4826893682 
89_Acquifer_mig_ScaleXY_2 100 8 11264 121 6655 1.0 0.664296653215 0.543069074502 --- 0.448111069727 0.137870991545 0.104088216595 0.146780241053 
89_Acquifer_mig_ScaleXY_4 100 8 6144 36 1980 1.0 0.487124284087 0.454225956678 --- 0.365765473078 0.258939495851 --- --- 
89_Acquifer_mig_ScaleXY_8 100 8 4710 9 477 1.0 0.462682509596 0.335199777923 --- --- --- --- --- 
89_Acquifer_mig_none_none 100 8 27648 441 24255 1.0 0.983174535305 0.99484662405 --- 0.785700850022 0.73844597672 0.652149411641 0.152539113025 
AANVG_Reduced_TCalib5Small_ScaleXY_2 100 8 129024 5859 169911 1.0 1.73606945776 3.22434946643 --- 4.79798328591 3.23254873597 3.30460117841 0.766564984145 
AANVG_Reduced_TCalib5Small_ScaleXY_4 100 8 36864 1504 42112 1.0 1.21379655809 2.11184105723 --- 1.60596846412 1.30405411814 1.16306302615 0.172103889931 
AANVG_Reduced_TCalib5Small_ScaleXY_8 100 8 14336 384 10752 1.0 0.704157266481 1.20830780074 --- 1.04500273471 0.542609679177 0.682286194168 --- 
AANVG_Reduced_TCalib5Small_none_none 361 8 492544 23125 670625 1.0 1.93101119898 3.85606584045 --- 6.69405140986 8.84676971663 8.55250107354 9.45394478321 
