INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
0FaultTest01_ScaleXY_2 211 3 7100 5859 35154 1.0 1.41379310345 2.15789473684 2.92857142857 2.15789473684 1.51851851852 --- 
0FaultTest01_ScaleXY_4 100 3 2019 1504 9024 1.0 1.66666666667 2.14285714286 1.875 1.5 0.714285714286 --- 
0FaultTest01_none_none 833 3 24716 23125 138750 1.0 1.57647058824 2.23333333333 3.67123287671 4.70175438596 4.32258064516 --- 
30_30_Regional_A_ScaleXY_2 5806 803 8598323 29029 2554552 1.0 2.0 3.16414734466 5.04671504649 7.26297292736 11.2143722121 --- 
30_30_Regional_A_ScaleXY_4 1469 786 2243137 7344 616896 1.0 1.73384342123 2.46482216851 3.86014127826 4.92263264514 5.94255684479 --- 
30_30_Regional_A_ScaleXY_8 368 746 614781 1836 148716 1.0 1.69453831898 2.41328986182 3.58942385406 3.86810999129 3.12285283777 --- 
30_30_Regional_A_none_none 23142 814 35167900 115710 10413900 1.0 --- --- --- --- 32.0 --- 
89_Acquifer_mig_none_none 100 129 26836 441 24255 1.0 1.57174638487 2.66101694915 3.49752475248 2.85454545455 --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_2 446 14 124304 5859 169911 1.0 1.72976190476 2.23882896764 3.40281030445 4.27352941176 --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_4 115 14 35544 1504 42112 1.0 1.56395348837 2.44545454545 3.02247191011 2.16935483871 --- --- 
AANVG_Reduced_TCalib5Small_none_none 1758 14 475308 23125 670625 1.0 1.39936836061 2.01989225031 3.20763409016 4.30185348632 --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2 112 578 91492 957 44022 1.0 1.63279813703 2.49288922156 3.72643356643 3.59180372068 --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_none_none 100 230 37900 400 13200 1.0 1.5425170068 1.98903508772 1.94218415418 0.767343485618 --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 112 578 91492 957 44022 1.0 1.69357454772 2.59045801527 3.84750566893 3.55806028834 --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none 430 358 319616 3705 170430 1.0 1.61412306059 2.34034727568 3.6716317767 4.52771802085 --- --- 
AMT_IO_Pressure_Model_ScaleXY_2 100 245 121216 957 37323 1.0 1.56465517241 2.09826589595 2.4092920354 2.0644549763 --- --- 
AMT_IO_Pressure_Model_none_none 378 238 847872 3705 144495 1.0 1.60997294163 2.29160935351 3.71212121212 3.94226218646 --- --- 
Acquifer-00M03_none_none 100 337 28620 441 24255 1.0 1.60028449502 2.56849315068 3.20512820513 2.46710526316 0.799573560768 --- 
AdvecTest_ScaleXY_2 100 96 9368 676 14872 1.0 1.52403846154 2.78070175439 3.23469387755 2.07189542484 --- --- 
AdvecTest_none_none 177 86 30408 2601 57222 1.0 1.54295942721 2.48653846154 3.99074074074 3.7917888563 --- --- 
AdvectionErosionTest_ScaleXY_2 100 92 16596 676 14872 1.0 1.53807106599 2.27819548872 2.38582677165 2.3671875 --- --- 
AdvectionErosionTest_none_none 177 92 53248 2601 57222 1.0 1.52228571429 2.48507462687 3.79487179487 4.11111111111 --- --- 
AdvectionFault_ScaleXY_2 100 86 21424 289 5202 1.0 1.38888888889 1.68918918919 1.21359223301 0.753012048193 --- --- 
AdvectionFault_none_none 100 86 29980 1089 19602 1.0 1.52645502646 2.54185022026 3.06914893617 2.2277992278 --- --- 
AlphaTestFullRes_ScaleXY_2 100 99 115596 729 24786 1.0 --- 4.0 4.76073619632 3.11646586345 --- --- 
AlphaTestFullRes_none_none 247 137 386048 2862 97308 1.0 1.64579710145 2.40797285835 3.01060445387 2.98214285714 --- --- 
BigProject-44M18_ScaleXY_2 22633 544 8738352 263169 8158239 1.0 --- --- 8.0 --- --- --- 
BigProject-44M18_ScaleXY_4 5681 544 2122553 66049 2047519 1.0 2.0 3.19091941718 5.30830144305 8.82042941529 13.2438821714 16.8978708672 
BigProject-44M18_ScaleXY_8 1432 545 630758 16641 515871 1.0 1.46626914737 2.25018113511 3.82000820008 5.17675021608 6.55050386689 5.11923076923 
CA1_scenario2_ScaleXY_2 387 590 810747 3510 161460 1.0 1.42065834279 2.40599769319 2.50620744894 2.14021887825 --- --- 
CA1_scenario2_ScaleXY_4 100 587 452276 897 39468 1.0 1.31451612903 1.82735426009 0.595325054785 0.701075268817 --- --- 
