INSTANCE  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
30_30_Regional_A_ScaleXY_4 0:05:07 0:07:20 0:04:23 0:05:05 0:06:01 0:06:16 0:17:06 
89_Acquifer_mig_ScaleXY_4 0:00:04 0:00:06 0:00:10 0:00:16 0:00:33 0:00:53 0:01:14 
AANVG_Reduced_TCalib5Small_ScaleXY_8 0:00:12 0:00:25 0:00:21 0:00:30 0:00:48 0:01:04 0:01:43 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8 0:00:01 0:00:01 0:00:01 0:00:02 0:00:01 0:00:04 0:00:12 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 0:00:01 0:00:01 0:00:01 0:00:01 0:00:02 0:00:09 0:00:13 
AMT_IO_Pressure_Model_ScaleXY_8 0:00:02 0:00:01 0:00:01 0:00:02 0:00:02 0:00:07 0:00:15 
Acquifer-00M03_ScaleXY_4 0:00:01 0:00:03 0:00:04 0:00:05 0:00:07 0:00:15 0:00:35 
AdvecTest_ScaleXY_2 0:00:01 0:00:01 0:00:01 0:00:01 0:00:02 0:00:03 0:00:12 
AdvectionErosionTest_ScaleXY_2 0:00:01 0:00:01 0:00:01 0:00:01 0:00:01 0:00:07 0:00:09 
AdvectionFault_ScaleXY_2 0:00:01 0:00:01 0:00:01 0:00:01 0:00:02 0:00:05 0:00:07 
AlphaTestFullRes_ScaleXY_2 0:00:12 0:00:17 0:00:19 0:00:30 0:00:46 0:01:28 0:03:00 
BigProject-44M18_ScaleXY_8 --- --- --- --- 0:00:03 0:00:07 --- 
BrowseExtensionHigh3_ScaleXY_8 --- --- --- --- 0:13:03 0:16:29 --- 
CA1_scenario2_ScaleXY_8 0:01:50 0:02:49 0:03:59 0:05:16 0:07:09 0:10:03 0:27:30 
F3_SeaBed_none_none 0:00:01 --- 0:00:01 --- --- --- --- 
Friesian_ScaleXY_8 0:00:16 0:00:18 0:00:36 0:00:48 0:01:01 0:02:11 0:03:23 
FriesianSMTest_ScaleXY_4 0:00:18 0:01:09 --- --- --- --- --- 
Greater_Mars_Ursa_ScaleXY_2 0:02:29 0:05:40 0:02:20 0:08:21 0:13:20 0:21:34 --- 
Gron_Olaf_nod_newHC_ScaleXY_4 0:03:18 0:02:57 0:03:41 0:04:33 0:06:38 0:08:22 0:19:47 
HB_test_sand_none_none 0:00:01 0:00:01 --- 0:00:01 0:00:02 0:00:05 0:00:09 
HPHTLwrRchLwTOC_ScaleXY_8 0:00:17 0:00:30 0:00:35 0:00:59 0:01:33 0:02:18 0:04:23 
Hohonu_2d_v1_200mA_none_none 0:00:06 0:00:06 0:00:06 0:00:06 0:00:06 0:00:08 0:00:11 
IOtest-95M00_ScaleXY_8 --- --- --- --- --- 0:00:10 0:00:16 
K3AllSand_none_none 0:00:10 0:00:04 0:00:05 0:00:05 0:00:06 0:00:06 0:00:10 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 --- 0:00:06 0:00:06 0:00:06 0:00:07 0:00:08 0:00:14 
L2_Mdst50Pct_NonGeoLoop_none_none --- --- 0:00:08 --- 0:00:13 0:00:17 --- 
LargeSMTest_ScaleXY_4 0:00:01 0:00:01 0:00:01 0:00:01 0:00:02 0:00:03 0:00:10 
LunskoyeDeepHT_ScaleXY_8 0:00:04 0:00:03 0:00:03 0:00:03 0:00:03 0:00:09 0:00:15 
LunskoyeDeepL4_ScaleXY_8 0:00:03 0:00:01 0:00:03 0:00:03 0:00:04 0:00:11 0:00:15 
