INSTANCE  cores-1 cores-2 cores-4 cores-8 cores-12 cores-16 cores-20 cores-32 cores-48 cores-64 
0FaultTest01_ScaleXY_4 0:00:03 0:00:12 0:00:07 0:00:07 --- 0:00:12 --- 0:00:18 --- --- 
0FaultTest01_ScaleXY_8 0:00:02 --- --- --- --- --- --- --- --- --- 
0FaultTest01_none_none 0:02:46 0:01:44 --- --- --- 0:00:46 --- 0:00:44 --- --- 
30_30_Regional_A_ScaleXY_2 4:30:38 2:38:59 1:46:24 1:13:43 --- 1:00:17 --- 1:00:03 --- --- 
30_30_Regional_A_ScaleXY_4 1:05:14 0:42:12 0:33:12 0:25:12 --- 0:27:30 --- 0:32:46 --- --- 
30_30_Regional_A_ScaleXY_8 0:17:13 0:13:34 0:14:17 0:12:48 --- 0:17:02 --- 0:35:49 --- --- 
30_30_Regional_A_none_none --- --- 7:31:51 --- --- 3:24:58 --- 2:12:33 --- --- 
89_Acquifer_mig_ScaleXY_2 0:00:43 --- --- --- --- --- --- --- --- --- 
89_Acquifer_mig_ScaleXY_4 0:00:27 --- --- --- --- --- --- --- --- --- 
89_Acquifer_mig_ScaleXY_8 0:00:23 --- --- --- --- --- --- --- --- --- 
89_Acquifer_mig_none_none 0:01:56 0:01:31 0:01:23 0:01:26 --- 0:02:09 --- 0:06:53 --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_2 0:02:54 0:01:52 0:01:33 0:01:37 --- 0:01:43 --- --- --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_4 0:00:07 0:00:40 0:00:38 0:00:46 --- 0:01:14 --- --- --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_8 0:00:22 --- --- --- --- --- --- --- --- --- 
AANVG_Reduced_TCalib5Small_none_none 0:13:43 0:08:27 0:08:04 0:04:20 --- 0:03:31 --- --- --- 0:04:51 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2 0:05:51 0:03:58 0:04:48 0:04:09 --- 0:14:48 --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4 0:02:23 --- --- --- --- --- --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8 0:01:33 --- --- --- --- --- --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_none_none 0:02:27 0:02:00 0:03:14 0:03:59 --- 0:14:00 --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 0:06:00 0:04:01 0:05:02 0:04:07 --- 0:06:31 --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4 0:02:30 --- --- --- --- --- --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8 0:01:37 --- --- --- --- --- --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none 0:21:42 0:12:49 0:09:42 0:06:49 --- 0:11:00 --- 0:46:22 --- --- 
AMT_IO_Pressure_Model_ScaleXY_2 0:06:27 0:04:31 0:06:59 0:05:26 --- 0:08:20 --- --- --- --- 
AMT_IO_Pressure_Model_ScaleXY_4 0:03:22 --- --- --- --- --- --- --- --- --- 
AMT_IO_Pressure_Model_ScaleXY_8 0:00:12 --- --- --- --- --- --- --- --- --- 
AMT_IO_Pressure_Model_none_none 0:20:16 0:12:29 0:11:23 0:08:44 --- 0:10:20 --- --- --- --- 
Acquifer-00M03_ScaleXY_2 0:00:06 --- --- --- --- --- --- --- --- --- 
Acquifer-00M03_ScaleXY_4 0:00:05 --- --- --- --- --- --- --- --- --- 
Acquifer-00M03_ScaleXY_8 0:00:09 --- --- --- --- --- --- --- --- --- 
Acquifer-00M03_none_none 0:00:02 0:01:08 0:00:56 0:00:49 --- 0:01:10 --- 0:03:08 --- 0:04:36 
AdvecTest_ScaleXY_2 0:01:12 0:00:49 0:00:36 0:00:38 --- 0:01:01 --- --- --- --- 
AdvecTest_none_none 0:05:47 0:03:43 0:02:21 0:01:44 --- 0:01:46 --- --- --- --- 
AdvectionErosionTest_ScaleXY_2 0:01:10 0:00:48 0:00:37 0:00:36 --- 0:00:58 --- --- --- --- 
AdvectionErosionTest_none_none 0:05:41 0:03:48 0:02:21 0:01:41 --- 0:02:12 --- --- --- --- 
AdvectionFault_ScaleXY_2 0:00:50 0:00:45 0:00:50 0:01:05 --- 0:01:47 --- --- --- --- 
AdvectionFault_none_none --- 0:01:49 0:01:22 0:01:24 --- 0:02:07 --- --- --- --- 
AlphaTestFullRes_ScaleXY_2 --- 0:02:33 0:03:10 0:03:25 --- 0:05:48 --- --- --- --- 
AlphaTestFullRes_none_none 0:09:57 0:06:19 0:05:36 0:04:47 --- 0:06:15 --- --- --- --- 
BIM9474FracturePressure_none_none 0:00:01 --- 0:00:05 --- --- --- --- --- --- --- 
BigProject-44M18_ScaleXY_2 --- --- 33:47:03 20:01:01 --- 10:44:13 --- 5:53:34 --- --- 
BigProject-44M18_ScaleXY_4 13:20:04 7:34:01 5:02:33 3:11:31 --- 1:49:50 --- 1:12:22 --- 1:12:17 
BigProject-44M18_ScaleXY_8 2:29:25 1:23:45 0:49:00 0:30:33 --- 0:22:16 --- 0:20:04 --- 0:30:37 
BigProject-44M18_none_none --- --- --- --- --- --- --- 36:08:48 --- 18:55:03 
BrowseExtensionHigh3_ScaleXY_8 18:30:08 --- 3:27:22 --- --- --- --- --- --- --- 
CA1_scenario2_ScaleXY_2 0:41:52 0:30:32 0:22:48 0:27:56 --- 0:40:31 --- --- --- --- 
CA1_scenario2_ScaleXY_4 0:13:09 0:12:23 0:11:31 0:27:06 --- 0:28:42 --- --- --- --- 
CA1_scenario2_ScaleXY_8 0:06:19 --- --- --- --- --- --- --- --- --- 
CA1_scenario2_none_none 2:48:39 1:49:47 1:09:47 0:56:28 --- 1:09:08 --- --- --- --- 
F3_Salt_none_none 0:00:03 --- --- --- --- --- --- --- --- --- 
F3_SeaBed_none_none 0:00:03 --- 0:00:13 --- --- --- --- --- --- --- 
FriesianSMTest_ScaleXY_2 0:15:37 --- --- --- --- --- --- --- --- --- 
FriesianSMTest_ScaleXY_4 0:04:05 --- --- --- --- --- --- --- --- --- 
FriesianSMTest_ScaleXY_8 0:00:17 --- --- --- --- --- --- --- --- --- 
Friesian_ScaleXY_2 0:15:31 0:09:55 0:06:14 0:05:20 --- 0:07:27 --- --- --- --- 
Friesian_ScaleXY_4 0:04:09 0:03:12 0:02:46 0:03:07 --- 0:05:18 --- 0:08:58 --- --- 
Friesian_ScaleXY_8 0:01:38 --- --- --- --- --- --- --- --- --- 
Friesian_none_none 1:13:37 0:43:07 0:25:16 0:30:38 --- 0:15:21 --- --- --- --- 
Greater_Mars_Ursa_ScaleXY_2 0:56:10 0:34:39 0:21:30 0:45:04 --- 0:16:03 --- --- --- --- 
Greater_Mars_Ursa_ScaleXY_4 0:14:05 0:09:20 0:06:54 0:51:53 --- 0:13:06 --- --- --- --- 
Greater_Mars_Ursa_ScaleXY_8 0:04:31 --- --- --- --- --- --- --- --- --- 
Greater_Mars_Ursa_none_none 4:06:23 2:19:36 1:20:28 0:50:43 --- 0:43:39 --- --- --- --- 
Gron_Olaf_nod_newHC_ScaleXY_2 1:06:07 0:56:38 0:45:54 0:45:21 --- 1:11:56 --- --- --- --- 
Gron_Olaf_nod_newHC_ScaleXY_4 0:23:08 0:35:31 0:25:06 0:40:45 --- 0:49:59 --- 5:25:24 --- --- 
Gron_Olaf_nod_newHC_ScaleXY_8 0:22:30 0:14:41 0:18:46 0:24:46 --- 0:49:46 --- 1:07:54 --- --- 
Gron_Olaf_nod_newHC_none_none 3:55:32 2:46:45 1:58:52 4:45:04 --- 1:48:50 --- 4:40:56 --- --- 
HB_test_sand_none_none 0:00:51 --- 0:00:37 --- --- --- --- --- --- --- 
HPHTLwrRchLwTOC_ScaleXY_2 0:10:33 0:07:36 0:09:31 0:09:08 --- 0:16:23 --- --- --- --- 
HPHTLwrRchLwTOC_ScaleXY_4 0:04:06 --- --- --- --- --- --- --- --- --- 
HPHTLwrRchLwTOC_ScaleXY_8 0:02:52 --- --- --- --- --- --- --- --- --- 
HPHTLwrRchLwTOC_none_none 0:33:44 0:22:00 0:17:51 0:20:22 --- 0:21:02 --- --- --- --- 
Hohonu_2d_v1_200mA_none_none 0:12:18 --- 0:07:00 --- --- --- --- --- --- --- 
IOtest-95M00_ScaleXY_2 --- --- --- 4:13:56 --- 2:20:38 --- 1:21:13 --- --- 
IOtest-95M00_ScaleXY_4 --- 2:04:27 1:15:52 0:44:58 --- 0:27:43 --- 0:18:02 --- --- 
IOtest-95M00_ScaleXY_8 0:40:44 0:24:19 0:14:21 0:08:57 --- --- --- --- --- --- 
IOtest-95M00_none_none --- --- --- --- --- --- --- --- --- 3:52:26 
K3AllSand_ScaleXY_2 0:57:39 0:35:31 0:21:26 0:15:15 --- --- --- --- --- --- 
K3AllSand_ScaleXY_4 0:14:17 0:13:33 0:06:49 0:33:46 --- --- --- --- --- --- 
K3AllSand_ScaleXY_8 0:04:35 0:06:13 0:03:47 0:04:43 --- --- --- --- --- --- 
K3AllSand_none_none 3:06:20 1:50:16 1:07:47 0:43:05 --- --- --- --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 2:16:19 1:18:24 0:45:08 0:29:50 --- --- --- --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 0:31:31 0:19:52 0:13:01 0:21:41 --- --- --- --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 0:09:48 0:07:46 0:09:19 0:06:38 --- 0:20:26 --- --- --- --- 
K3_CBM_DIONISOS_SAND1_none_none 6:53:02 3:59:15 2:17:41 1:25:12 --- --- --- --- --- --- 
L2_Mdst50Pct_NonGeoLoop_none_none 1:19:49 --- 0:30:23 --- --- --- --- --- --- --- 
LargeSMTest_ScaleXY_2 0:02:17 0:02:25 0:01:17 0:01:04 --- --- --- --- --- --- 
LargeSMTest_ScaleXY_4 0:00:58 0:01:27 0:00:39 0:00:49 --- --- --- --- --- --- 
LargeSMTest_ScaleXY_8 0:00:29 --- --- --- --- --- --- --- --- --- 
LargeSMTest_none_none 0:10:30 0:06:42 0:03:39 0:02:33 --- --- --- --- --- --- 
LunskoyeDeepHT_ScaleXY_2 2:06:23 1:10:44 0:46:13 0:28:38 --- --- --- --- --- --- 
LunskoyeDeepHT_ScaleXY_4 0:28:55 0:16:51 0:11:25 0:10:22 --- --- --- --- --- --- 
LunskoyeDeepHT_ScaleXY_8 0:07:08 0:04:47 0:03:31 0:05:25 --- --- --- --- --- --- 
LunskoyeDeepHT_none_none 8:50:57 5:12:12 3:17:17 1:54:03 --- --- --- --- --- --- 
LunskoyeDeepL4_ScaleXY_2 2:23:56 1:23:24 0:52:43 0:31:41 --- --- --- --- --- --- 
LunskoyeDeepL4_ScaleXY_4 0:33:24 0:20:41 0:12:50 0:09:18 --- --- --- --- --- --- 
LunskoyeDeepL4_ScaleXY_8 0:08:14 0:05:48 0:03:46 --- --- --- --- --- --- --- 
LunskoyeDeepL4_none_none --- 6:03:39 3:44:20 2:08:32 --- --- --- --- --- --- 
LunskoyeDeep_test_GSY_ScaleXY_2 1:28:05 0:52:31 0:32:12 0:18:56 --- --- --- --- --- --- 
LunskoyeDeep_test_GSY_ScaleXY_4 0:21:14 0:12:51 0:07:57 0:05:51 --- --- --- 0:06:48 --- --- 
LunskoyeDeep_test_GSY_ScaleXY_8 0:05:02 0:03:17 0:02:28 0:02:16 --- --- --- 0:05:06 --- --- 
LunskoyeDeep_test_GSY_none_none 6:11:33 3:49:23 2:20:47 1:21:36 --- 0:48:21 --- 0:33:40 --- --- 
LunskoyeV2005_08_ScaleXY_2 0:02:34 0:02:02 0:00:52 --- --- --- --- --- --- --- 
LunskoyeV2005_08_ScaleXY_4 0:00:32 0:00:24 0:00:14 --- --- --- --- --- --- --- 
LunskoyeV2005_08_ScaleXY_8 0:00:08 0:00:10 0:00:06 --- --- --- --- --- --- --- 
LunskoyeV2005_08_none_none 0:00:01 0:07:33 0:00:04 --- --- --- --- --- --- --- 
LwrRachmat_ScaleXY_2 0:09:01 0:06:39 0:06:08 --- --- --- --- --- --- --- 
LwrRachmat_ScaleXY_4 0:04:26 --- --- --- --- --- --- --- --- --- 
LwrRachmat_ScaleXY_8 0:03:32 --- --- --- --- --- --- --- --- --- 
LwrRachmat_none_none 0:29:51 0:37:38 0:14:14 --- --- --- --- --- --- --- 
Model3D_v5_ScaleXY_2 0:28:04 0:20:01 0:10:31 --- --- --- --- --- --- --- 
Model3D_v5_ScaleXY_4 0:06:33 0:10:36 0:03:21 --- --- --- --- --- --- --- 
Model3D_v5_none_none 1:53:15 1:08:33 0:40:38 --- --- --- --- --- --- --- 
Model3D_v6_scenario8_gsy_ScaleXY_2 0:36:08 0:19:08 0:11:32 --- --- --- --- --- --- --- 
