Requirements:  APPLICATION_NAME=decompaction  INSTANCE  TOTAL_2D_GRIDPOINTS  TOTAL_3D_GRIDPOINTS  X_GRIDPOINTS  Y_GRIDPOINTS  ZP_SEGMENTS  Z_SEGMENTS  ZT_SEGMENTS  CRUST_SEGMENTS  MANTLE_SEGMENTS  NUMBER_OF_EVENTS  RESERVOIRS  SOURCE_ROCKS  
Acquifer-00M03_none_none_0_decompaction_1.tag  Acquifer-00M03_none_none  441  24255  21  21  53  66  66  8  5  7  1  1  
Acquifer-00M03_none_none_0_decompaction_2.tag  Acquifer-00M03_none_none  441  24255  21  21  53  66  66  8  5  7  1  1  
project4-00M19_none_none_0_decompaction_1.tag  project4-00M19_none_none  3834  141858  1917  2  35  48  48  8  5  18  ---  ---  
project5-00M38_none_none_0_decompaction_1.tag  project5-00M38_none_none  7680  253440  80  96  31  48  48  8  9  26  1  4  
project2-02M46_none_none_0_decompaction_2.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project4-00M19_none_none_0_decompaction_2.tag  project4-00M19_none_none  3834  141858  1917  2  35  48  48  8  5  18  ---  ---  
project5-00M38_none_none_0_decompaction_2.tag  project5-00M38_none_none  7680  253440  80  96  31  48  48  8  9  26  1  4  
project4-00M19_none_none_0_decompaction_1.tag  project4-00M19_none_none  3834  141858  1917  2  35  48  48  8  5  18  ---  ---  
Acquifer-00M03_none_none_0_decompaction_2.tag  Acquifer-00M03_none_none  441  24255  21  21  53  66  66  8  5  7  1  1  
Acquifer-00M03_none_none_0_decompaction_8.tag  Acquifer-00M03_none_none  441  24255  21  21  53  66  66  8  5  7  1  1  
Acquifer-00M03_none_none_0_decompaction_1.tag  Acquifer-00M03_none_none  441  24255  21  21  53  66  66  8  5  7  1  1  
project2-02M46_none_none_0_decompaction_1.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project2-02M46_none_none_0_decompaction_2.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project2-02M46_none_none_0_decompaction_4.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project4-00M19_none_none_0_decompaction_1.tag  project4-00M19_none_none  3834  141858  1917  2  35  48  48  8  5  18  ---  ---  
project3-04M96_none_none_0_decompaction_2.tag  project3-04M96_none_none  99234  3473190  298  333  33  49  49  9  7  11  1  1  
project2-02M46_none_none_0_decompaction_8.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
Acquifer-00M03_none_none_0_decompaction_64.tag  Acquifer-00M03_none_none  441  24255  21  21  53  66  66  8  5  7  1  1  
project2-02M46_none_none_0_decompaction_16.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project2-02M46_none_none_0_decompaction_32.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project4-00M19_none_none_0_decompaction_2.tag  project4-00M19_none_none  3834  141858  1917  2  35  48  48  8  5  18  ---  ---  
project5-00M38_none_none_0_decompaction_1.tag  project5-00M38_none_none  7680  253440  80  96  31  48  48  8  9  26  1  4  
project5-00M38_none_none_0_decompaction_2.tag  project5-00M38_none_none  7680  253440  80  96  31  48  48  8  9  26  1  4  
project4-00M19_none_none_0_decompaction_4.tag  project4-00M19_none_none  3834  141858  1917  2  35  48  48  8  5  18  ---  ---  
project5-00M38_none_none_0_decompaction_4.tag  project5-00M38_none_none  7680  253440  80  96  31  48  48  8  9  26  1  4  
project3-04M96_none_none_0_decompaction_16.tag  project3-04M96_none_none  99234  3473190  298  333  33  49  49  9  7  11  1  1  
project3-04M96_none_none_0_decompaction_32.tag  project3-04M96_none_none  99234  3473190  298  333  33  49  49  9  7  11  1  1  
Acquifer-00M03_ScaleXY_2_0_decompaction_4_1.tag  Acquifer-00M03_ScaleXY_2  121  6655  11  11  53  66  66  8  5  7  1  1  
Acquifer-00M03_none_none_0_decompaction_1_1.tag  Acquifer-00M03_none_none  441  24255  21  21  53  66  66  8  5  7  1  1  
Acquifer-00M03_none_none_0_decompaction_4_1.tag  Acquifer-00M03_none_none  441  24255  21  21  53  66  66  8  5  7  1  1  
Acquifer-00M03_ScaleXY_2_0_decompaction_2_1.tag  Acquifer-00M03_ScaleXY_2  121  6655  11  11  53  66  66  8  5  7  1  1  
Acquifer-00M03_ScaleXY_4_0_decompaction_1_1.tag  Acquifer-00M03_ScaleXY_4  36  1980  6  6  53  66  66  8  5  7  1  1  
Acquifer-00M03_ScaleXY_4_0_decompaction_2_1.tag  Acquifer-00M03_ScaleXY_4  36  1980  6  6  53  66  66  8  5  7  1  1  
Acquifer-00M03_ScaleXY_4_0_decompaction_4_1.tag  Acquifer-00M03_ScaleXY_4  36  1980  6  6  53  66  66  8  5  7  1  1  
Acquifer-00M03_ScaleXY_8_0_decompaction_1_1.tag  Acquifer-00M03_ScaleXY_8  9  477  3  3  51  64  64  8  5  7  1  1  
Acquifer-00M03_ScaleXY_8_0_decompaction_2_1.tag  Acquifer-00M03_ScaleXY_8  9  477  3  3  51  64  64  8  5  7  1  1  
Acquifer-00M03_ScaleXY_8_0_decompaction_4_1.tag  Acquifer-00M03_ScaleXY_8  9  477  3  3  51  64  64  8  5  7  1  1  
project2-02M46_none_none_0_decompaction_1_1.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project2-02M46_none_none_0_decompaction_2_1.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project2-02M46_none_none_0_decompaction_4_1.tag  project2-02M46_none_none  27030  1783980  159  170  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_2_0_decompaction_1_1.tag  project2-02M46_ScaleXY_2  7134  470844  82  87  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_2_0_decompaction_2_1.tag  project2-02M46_ScaleXY_2  7134  470844  82  87  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_2_0_decompaction_4_1.tag  project2-02M46_ScaleXY_2  7134  470844  82  87  64  90  90  15  11  18  ---  ---  
project2-02M46_ScaleXY_4_0_decompaction_1_1.tag  project2-02M46_ScaleXY_4  1804  119064  41  44  64  90  90  15  11  18  ---  ---  
