Requirements:  APPLICATION_NAME=generation  
INSTANCE  MAX_2D_GRIDPOINTS_PER_PROCESS  DURATION  
Acquifer-00M03_none_none  441.0  25.4174001217  
Acquifer-00M03_none_none  231.0  23.2987501621  
project4-00M19_none_none  3810.996  2.47386193275  
project5-00M38_none_none  7680.0  2345.55429006  
project4-00M19_none_none  1918.0  2.87455606461  
project5-00M38_none_none  3840.0  1268.77607608  
project2-02M46_none_none  25137.9  2.38929486275  
project2-02M46_none_none  13460.94  3.95095801353  
project2-02M46_none_none  25137.9  2.39043211937  
Acquifer-00M03_none_none  231.0  36.0348110199  
Acquifer-00M03_none_none  36.0  22.6367681026  
Acquifer-00M03_none_none  441.0  308.107385874  
project2-02M46_none_none  25137.9  10.1935069561  
project2-02M46_none_none  6800.0  16.6655960083  
Acquifer-00M03_none_none  66.0  23.4168128967  
Acquifer-00M03_none_none  18.0  48.3610360622  
project2-02M46_none_none  3440.0  19.1929550171  
project2-02M46_none_none  1720.0  23.2309918404  
project4-00M19_none_none  3810.996  11.8082430363  
project4-00M19_none_none  1918.0  16.627368927  
project5-00M38_none_none  7680.0  2366.53934813  
project2-02M46_none_none  880.0  49.6794698238  
project5-00M38_none_none  3840.0  1279.98133802  
project3-04M96_none_none  24883.0  732.860056877  
project4-00M19_none_none  960.0  16.159183979  
project5-00M38_none_none  1920.0  753.476418972  
project3-04M96_none_none  6300.0  400.501913071  
Acquifer-00M03_ScaleXY_2  121.0  12.2713820934  
Acquifer-00M03_ScaleXY_2  66.0  17.7166068554  
Acquifer-00M03_ScaleXY_2  36.0  19.4345669746  
Acquifer-00M03_ScaleXY_4  36.0  8.13935899734  
Acquifer-00M03_ScaleXY_4  18.0  16.3687238693  
Acquifer-00M03_ScaleXY_4  9.0  18.4587049484  
Acquifer-00M03_ScaleXY_8  9.0  12.8327598572  
Acquifer-00M03_ScaleXY_8  6.0  16.9935100079  
Acquifer-00M03_ScaleXY_8  4.0  18.2884287834  
Acquifer-00M03_none_none  441.0  24.0274920464  
Acquifer-00M03_none_none  231.0  23.553098917  
Acquifer-00M03_none_none  36.0  21.7544300556  
project2-02M46_ScaleXY_2  899.294  15.3421039581  
project2-02M46_none_none  25137.9  11.7978460789  
project2-02M46_none_none  13460.94  33.2314329147  
project2-02M46_none_none  3440.0  13.1090598106  
project2-02M46_none_none  1720.0  14.6751818657  
project2-02M46_ScaleXY_2  462.0  43.830080986  
project3-04M96_ScaleXY_2  6300.0  406.814056158  
project3-04M96_ScaleXY_2  12516.0  708.055459023  
project2-02M46_ScaleXY_4  117.975  42.5388410091  
