INSTANCE  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
0FaultTest01_ScaleXY_4 0:00:15 0:00:09 0:00:07 0:00:08 0:00:10 0:00:21 --- 
0FaultTest01_none_none 0:04:28 0:02:50 0:02:00 0:01:13 0:00:57 0:01:02 --- 
30_30_Regional_A_ScaleXY_2 --- 101:36:36 64:13:33 40:16:04 27:58:49 18:07:17 --- 
30_30_Regional_A_ScaleXY_4 31:43:30 18:17:51 12:52:16 8:13:07 6:26:41 5:20:19 --- 
30_30_Regional_A_ScaleXY_8 8:38:08 5:05:46 3:34:42 2:24:21 2:13:57 2:45:55 --- 
30_30_Regional_A_none_none --- --- --- --- --- 91:31:40 --- 
89_Acquifer_mig_none_none 0:23:33 0:14:59 0:08:51 0:06:44 0:08:15 --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_2 0:24:13 0:14:00 0:10:49 0:07:07 0:05:40 --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_4 0:04:29 0:02:52 0:01:50 0:01:29 0:02:04 --- --- 
AANVG_Reduced_TCalib5Small_none_none 2:42:28 1:56:06 1:20:26 0:50:39 0:37:46 --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2 3:42:02 2:15:59 1:29:04 0:59:35 1:01:49 --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_none_none 0:15:07 0:09:48 0:07:36 0:07:47 0:19:42 --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 3:46:14 2:13:35 1:27:20 0:58:48 1:03:35 --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none 7:36:01 4:42:31 3:14:51 2:04:12 1:40:43 --- --- 
AMT_IO_Pressure_Model_ScaleXY_2 0:36:18 0:23:12 0:17:18 0:15:04 0:17:35 --- --- 
AMT_IO_Pressure_Model_none_none 2:18:50 1:26:14 1:00:35 0:37:24 0:35:13 --- --- 
Acquifer-00M03_none_none 0:18:45 0:11:43 0:07:18 0:05:51 0:07:36 0:23:27 --- 
AdvecTest_ScaleXY_2 0:05:17 0:03:28 0:01:54 0:01:38 0:02:33 --- --- 
AdvecTest_none_none 0:21:33 0:13:58 0:08:40 0:05:24 0:05:41 --- --- 
AdvectionErosionTest_ScaleXY_2 0:05:03 0:03:17 0:02:13 0:02:07 0:02:08 --- --- 
AdvectionErosionTest_none_none 0:22:12 0:14:35 0:08:56 0:05:51 0:05:24 --- --- 
AdvectionFault_ScaleXY_2 0:02:05 0:01:30 0:01:14 0:01:43 0:02:46 --- --- 
AdvectionFault_none_none 0:09:37 0:06:18 0:03:47 0:03:08 0:04:19 --- --- 
AlphaTestFullRes_ScaleXY_2 --- --- 0:06:28 0:05:26 0:08:18 --- --- 
AlphaTestFullRes_none_none 0:47:19 0:28:45 0:19:39 0:15:43 0:15:52 --- --- 
BigProject-44M18_ScaleXY_2 --- --- --- 298:45:28 --- --- --- 
BigProject-44M18_ScaleXY_4 --- 108:27:56 67:59:02 40:51:59 24:35:39 16:22:47 12:50:16 
BigProject-44M18_ScaleXY_8 23:17:33 15:53:08 10:21:05 6:05:51 4:29:58 3:33:21 4:33:00 
CA1_scenario2_ScaleXY_2 1:44:18 1:13:25 0:43:21 0:41:37 0:48:44 --- --- 
CA1_scenario2_ScaleXY_4 0:27:10 0:20:40 0:14:52 0:45:38 0:38:45 --- --- 
CA1_scenario2_none_none 7:11:19 4:49:44 2:49:03 1:55:47 1:41:48 --- --- 
Friesian_ScaleXY_2 8:44:59 6:30:00 3:47:44 2:22:28 2:04:05 --- --- 
Friesian_ScaleXY_4 1:19:38 0:49:03 0:30:07 0:23:19 0:28:35 --- --- 
Friesian_none_none 50:36:56 20:20:13 13:47:12 8:50:49 6:06:51 --- --- 
Greater_Mars_Ursa_ScaleXY_2 8:21:05 5:41:27 3:23:54 2:45:14 1:44:14 --- --- 
Greater_Mars_Ursa_ScaleXY_4 1:37:56 1:04:24 0:40:36 1:18:18 0:34:55 --- --- 
Greater_Mars_Ursa_none_none 42:16:44 28:31:48 16:07:30 9:53:45 6:50:27 --- --- 
Gron_Olaf_nod_newHC_ScaleXY_2 29:22:45 21:46:04 12:16:48 9:17:03 8:04:14 --- --- 
Gron_Olaf_nod_newHC_ScaleXY_4 3:55:51 2:54:29 1:56:07 1:45:40 2:02:39 2:34:18 --- 
Gron_Olaf_nod_newHC_ScaleXY_8 0:43:12 0:35:37 0:28:45 0:34:12 1:10:09 2:31:12 --- 
Gron_Olaf_nod_newHC_none_none --- --- 76:05:02 47:42:36 --- 25:44:09 --- 
HPHTLwrRchLwTOC_ScaleXY_2 1:22:53 0:52:15 0:33:10 0:39:37 0:52:37 --- --- 
HPHTLwrRchLwTOC_none_none 8:10:38 --- 2:56:21 2:30:40 2:22:47 --- --- 
IOtest-95M00_ScaleXY_2 --- --- --- 10:08:25 5:30:41 --- --- 
IOtest-95M00_ScaleXY_4 --- 5:38:32 3:09:35 1:49:34 --- --- --- 
IOtest-95M00_ScaleXY_8 1:52:08 1:07:00 0:36:41 0:21:38 --- --- --- 
K3AllSand_ScaleXY_2 23:56:12 13:34:25 7:59:22 5:09:06 --- --- --- 
K3AllSand_ScaleXY_4 4:01:19 2:29:00 1:17:45 0:57:21 --- --- --- 
K3AllSand_ScaleXY_8 0:41:06 0:29:01 0:15:38 0:12:43 --- --- --- 
K3AllSand_none_none 83:07:40 52:21:12 30:17:16 18:34:10 --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_2 --- 85:02:44 49:41:54 30:13:48 --- --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_4 --- 4:59:14 3:18:53 2:07:43 1:54:04 --- --- 
K3_CBM_DIONISOS_SAND1_ScaleXY_8 1:35:51 1:01:50 0:37:33 0:28:09 --- --- --- 
K3_CBM_DIONISOS_SAND1_none_none --- --- 83:13:47 51:20:17 --- --- --- 
LargeSMTest_ScaleXY_2 0:04:41 0:03:35 0:01:40 0:01:36 --- --- --- 
LargeSMTest_ScaleXY_4 0:01:22 0:01:33 0:00:46 0:01:14 --- --- --- 
LargeSMTest_none_none 0:19:37 0:11:40 0:06:34 0:04:27 --- --- --- 
LunskoyeDeepHT_ScaleXY_2 20:59:21 17:27:30 9:47:06 6:12:58 --- --- --- 
LunskoyeDeepHT_ScaleXY_4 2:30:03 1:58:22 0:57:39 0:40:58 --- --- --- 
LunskoyeDeepHT_ScaleXY_8 0:34:11 0:14:14 0:08:44 0:09:18 --- --- --- 
LunskoyeDeepHT_none_none --- --- 87:20:47 53:02:26 --- --- --- 
LunskoyeDeepL4_ScaleXY_2 --- --- --- 56:29:43 --- --- --- 
LunskoyeDeepL4_ScaleXY_4 21:26:09 14:12:45 9:49:22 --- --- --- --- 
LunskoyeDeepL4_ScaleXY_8 2:27:06 1:39:12 1:04:28 --- --- --- --- 
LunskoyeDeep_test_GSY_ScaleXY_2 11:55:21 7:24:21 5:20:09 3:25:46 2:47:52 --- --- 
LunskoyeDeep_test_GSY_ScaleXY_4 2:00:34 1:08:13 0:44:08 0:30:34 --- 0:32:07 --- 
LunskoyeDeep_test_GSY_ScaleXY_8 0:30:43 0:09:29 0:06:29 0:05:11 --- 0:13:08 --- 
LunskoyeDeep_test_GSY_none_none --- 67:08:00 47:52:07 29:20:12 --- --- --- 
LunskoyeV2005_08_ScaleXY_2 0:03:12 0:02:17 0:01:04 --- --- --- --- 
LunskoyeV2005_08_ScaleXY_4 0:00:40 0:00:35 0:00:16 --- --- --- --- 
LunskoyeV2005_08_ScaleXY_8 0:00:10 0:00:11 0:00:07 --- --- --- --- 
LunskoyeV2005_08_none_none 0:16:27 0:08:59 0:05:18 --- --- --- --- 
LwrRachmat_ScaleXY_2 1:21:10 0:50:09 0:33:52 --- --- --- --- 
LwrRachmat_none_none 7:31:19 4:55:17 2:50:34 --- --- --- --- 
Model3D_v5_ScaleXY_2 1:59:25 1:21:03 0:57:55 --- --- --- --- 
Model3D_v5_ScaleXY_4 0:32:02 0:21:38 0:13:51 --- --- --- --- 
Model3D_v5_none_none 29:33:53 6:02:16 7:03:26 --- --- --- --- 
Model3D_v6_scenario8_gsy_ScaleXY_2 4:16:21 1:38:32 1:15:00 --- --- --- --- 
Model3D_v6_scenario8_gsy_ScaleXY_4 0:51:19 0:28:27 0:21:53 --- --- --- --- 
Model3D_v6_scenario8_gsy_none_none 13:03:50 8:17:38 4:59:22 --- --- --- --- 
NVG_2004_TEST_ScaleXY_2 41:29:02 --- --- --- --- --- --- 
NVG_ReducedArea_25oct06_ScaleXY_2 19:22:13 12:26:25 7:42:50 --- --- --- --- 
NVG_ReducedArea_25oct06_ScaleXY_4 3:13:23 1:53:57 1:05:16 --- --- --- --- 
NVG_ReducedArea_25oct06_none_none --- --- 50:48:07 --- --- --- --- 
NVG_Reduced_TCalib5_ScaleXY_2 0:32:10 0:14:12 0:12:12 --- --- --- --- 
NVG_Reduced_TCalib5_ScaleXY_4 0:32:47 0:02:56 0:01:53 --- --- --- --- 
NVG_Reduced_TCalib5_none_none 3:12:54 2:28:11 1:19:29 --- --- --- --- 
NVG_revised_model_ScaleXY_2 11:42:13 6:22:36 3:20:10 --- --- --- --- 
NVG_revised_model_ScaleXY_4 2:58:34 1:30:35 0:48:34 --- --- 0:21:13 --- 
NVG_revised_model_ScaleXY_8 0:50:58 0:18:48 0:10:10 --- --- 0:15:34 --- 
NVG_revised_model_none_none --- 24:33:53 13:44:51 --- --- 2:15:08 --- 
opl_245_C_ScaleXY_8 35:16:01 --- --- --- --- --- --- 
project2-02M46_none_none --- --- --- --- --- 56:48:34 --- 
project3-04M96_none_none --- 45:26:11 3:42:26 14:06:37 7:32:58 --- --- 
project4-00M19_none_none 67:40:04 39:34:12 29:44:07 --- --- --- --- 
project5-00M38_none_none 6:48:43 3:47:40 2:47:53 0:08:32 --- --- --- 
0FaultTest01_ScaleXY_2 0:00:41 0:00:29 0:00:19 0:00:14 0:00:19 0:00:27 --- 
