INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-16 cores-32 cores-64 
0FaultTest01_ScaleXY_2 625 --- 9113 5859 35154 0:00:01 0:00:06 0:00:03 0:00:03 0:00:04 0:00:08 0:01:33 
0FaultTest01_ScaleXY_4 625 --- 2940 1504 9024 0:00:02 0:00:03 0:00:03 0:00:04 0:00:05 0:00:10 0:00:22 
0FaultTest01_ScaleXY_8 625 --- 3686 384 2304 0:00:01 0:00:02 0:00:03 0:00:06 0:00:04 0:00:08 0:00:22 
0FaultTest01_none_none 625 --- 25600 23125 138750 0:00:02 0:00:03 0:00:02 0:00:04 0:00:06 0:00:12 --- 
30_30_Regional_A_ScaleXY_2 17357 --- 9017753 29029 2554552 0:06:57 0:08:54 0:04:40 0:06:12 0:07:54 0:10:45 0:17:06 
30_30_Regional_A_ScaleXY_4 17357 --- 2831155 7344 616896 0:05:07 0:07:20 0:04:55 0:05:35 0:06:01 0:06:42 0:22:19 
30_30_Regional_A_ScaleXY_8 17357 --- 824496 1836 148716 0:06:24 --- 0:04:23 0:05:05 0:06:45 0:06:16 0:20:53 
30_30_Regional_A_none_none 17357 --- 33554432 115710 10413900 --- --- --- 0:06:46 --- --- --- 
89_Acquifer_mig_ScaleXY_2 100 --- 11264 121 6655 0:00:05 0:00:10 0:00:12 0:00:16 0:00:50 0:01:25 --- 
89_Acquifer_mig_ScaleXY_4 100 --- 6246 36 1980 0:00:04 0:00:10 0:00:13 0:00:20 0:00:48 --- --- 
89_Acquifer_mig_ScaleXY_8 100 --- 4915 9 477 0:00:04 0:00:10 0:00:12 --- --- --- --- 
89_Acquifer_mig_none_none 100 --- 27648 441 24255 0:00:06 0:00:06 0:00:10 0:00:18 0:00:33 0:00:53 0:01:14 
AANVG_Reduced_TCalib5Small_ScaleXY_2 1319 --- 150528 5859 169911 0:00:16 0:00:37 0:00:25 0:00:30 0:00:55 0:01:18 0:02:50 
AANVG_Reduced_TCalib5Small_ScaleXY_4 1319 --- 62464 1504 42112 0:00:15 0:00:34 0:00:22 0:00:33 0:00:51 0:01:04 0:02:34 
AANVG_Reduced_TCalib5Small_ScaleXY_8 1319 --- 39936 384 10752 0:00:12 0:00:33 0:00:23 0:00:38 0:01:07 0:01:22 --- 
AANVG_Reduced_TCalib5Small_none_none 1319 --- 487424 23125 670625 0:00:20 0:00:25 0:00:21 0:00:35 0:00:48 0:01:10 0:01:43 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2 323 --- 93184 957 44022 0:00:03 0:00:03 0:00:03 0:00:04 0:00:08 0:00:13 0:00:12 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4 323 --- 36864 --- --- 0:00:02 0:00:02 0:00:02 0:00:03 --- 0:00:07 0:00:15 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8 323 --- 22528 --- --- 0:00:01 0:00:01 0:00:01 0:00:02 0:00:01 0:00:09 --- 
AMT2007_SandLayers_L4GL_FULL_isolated_none_none 100 --- 36864 400 13200 0:00:03 0:00:03 0:00:03 0:00:03 0:00:04 0:00:04 0:00:12 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 323 --- 93184 957 44022 0:00:01 0:00:03 0:00:03 0:00:06 0:00:05 0:00:09 0:00:13 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4 323 --- 36864 255 11730 0:00:01 0:00:01 0:00:02 0:00:02 0:00:03 0:00:11 --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8 323 --- 22528 72 3240 0:00:01 0:00:01 0:00:01 0:00:01 0:00:02 0:00:10 --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none 323 --- 309248 3705 170430 0:00:02 --- 0:00:07 0:00:07 0:00:08 0:00:12 0:00:15 
AMT_IO_Pressure_Model_ScaleXY_2 284 --- 128000 957 37323 0:00:04 0:00:07 0:00:06 0:00:05 0:00:07 0:00:14 0:00:15 
AMT_IO_Pressure_Model_ScaleXY_4 284 --- 49152 255 9945 0:00:04 0:00:03 0:00:03 0:00:03 0:00:03 0:00:10 --- 
AMT_IO_Pressure_Model_ScaleXY_8 284 --- 28672 72 2736 0:00:02 0:00:01 0:00:01 0:00:02 0:00:02 0:00:07 --- 
AMT_IO_Pressure_Model_none_none 284 --- 425984 3705 144495 --- --- 0:00:09 0:00:09 0:00:10 0:00:11 0:00:18 
Acquifer-00M03_ScaleXY_2 100 --- 4505 121 6655 0:00:02 0:00:03 0:00:04 0:00:06 0:00:09 --- --- 
Acquifer-00M03_ScaleXY_4 100 --- 2764 36 1980 0:00:01 0:00:04 0:00:04 0:00:07 0:00:13 --- --- 
Acquifer-00M03_ScaleXY_8 100 --- 2252 9 477 0:00:01 0:00:03 0:00:04 --- --- --- --- 
Acquifer-00M03_none_none 100 --- 11264 441 24255 0:00:02 0:00:04 0:00:04 0:00:05 0:00:07 0:00:15 0:00:35 
AdvecTest_ScaleXY_2 133 --- 9523 676 14872 0:00:01 0:00:01 0:00:01 0:00:01 0:00:02 0:00:06 0:00:12 
AdvecTest_none_none 133 --- 30720 2601 57222 0:00:01 0:00:01 0:00:01 0:00:02 0:00:02 0:00:03 --- 
