INSTANCE MEMORY_REQUIRED ITERATIONS DIRECTORY_SIZE TOTAL_2D_GRIDPOINTS TOTAL_3D_GRIDPOINTS  cores-1 cores-2 cores-4 cores-8 cores-12 cores-16 cores-20 cores-32 cores-48 cores-64 
0FaultTest01_ScaleXY_2 211 3 7100 5859 35154 1.0 0.9375 --- 2.30769230769 --- 2.14285714286 --- 1.30434782609 --- --- 
0FaultTest01_ScaleXY_4 100 3 2019 1504 9024 1.0 0.25 0.428571428571 0.428571428571 --- 0.25 --- 0.166666666667 --- --- 
0FaultTest01_ScaleXY_8 100 3 784 384 2304 1.0 --- --- --- --- --- --- --- --- --- 
0FaultTest01_none_none 833 3 23692 23125 138750 1.0 1.59615384615 --- --- --- 3.60869565217 --- 3.77272727273 --- --- 
30_30_Regional_A_ScaleXY_2 5806 399 8617780 29029 2554552 1.0 1.70227487158 2.54354636591 3.67126384807 --- 4.48935581974 --- 4.50679988898 --- --- 
30_30_Regional_A_ScaleXY_4 1469 395 2138280 7344 616896 1.0 1.5458135861 1.96485943775 2.58862433862 --- 2.37212121212 --- 1.99084435402 --- --- 
30_30_Regional_A_ScaleXY_8 368 380 614781 1836 148716 1.0 1.26904176904 1.20536756126 1.34505208333 --- 1.01076320939 --- 0.480688692415 --- --- 
30_30_Regional_A_none_none 23142 402 33070748 115710 10413900 1.0 --- 4.0 --- --- 8.81801919011 --- 13.6356092041 --- --- 
89_Acquifer_mig_ScaleXY_2 100 121 10137 121 6655 1.0 --- --- --- --- --- --- --- --- --- 
89_Acquifer_mig_ScaleXY_4 100 121 5632 36 1980 1.0 --- --- --- --- --- --- --- --- --- 
89_Acquifer_mig_ScaleXY_8 100 120 4300 9 477 1.0 --- --- --- --- --- --- --- --- --- 
89_Acquifer_mig_none_none 100 121 26836 441 24255 1.0 1.27472527473 1.39759036145 1.3488372093 --- 0.899224806202 --- 0.280871670702 --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_2 446 14 124304 5859 169911 1.0 1.55357142857 1.87096774194 1.79381443299 --- 1.68932038835 --- --- --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_4 115 14 35544 1504 42112 1.0 0.175 0.184210526316 0.152173913043 --- 0.0945945945946 --- --- --- --- 
AANVG_Reduced_TCalib5Small_ScaleXY_8 100 14 13312 384 10752 1.0 --- --- --- --- --- --- --- --- --- 
AANVG_Reduced_TCalib5Small_none_none 1758 14 472236 23125 670625 1.0 1.62327416174 1.70041322314 3.16538461538 --- 3.90047393365 --- --- --- 2.82817869416 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_2 112 209 88420 957 44022 1.0 1.47478991597 1.21875 1.40963855422 --- 0.39527027027 --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_4 100 207 31744 255 11730 1.0 --- --- --- --- --- --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_ScaleXY_8 100 206 17408 72 3240 1.0 --- --- --- --- --- --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_isolated_none_none 100 163 36876 400 13200 1.0 1.225 0.757731958763 0.615062761506 --- 0.175 --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_2 112 209 88420 957 44022 1.0 1.49377593361 1.19205298013 1.45748987854 --- 0.920716112532 --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_4 100 207 31744 255 11730 1.0 --- --- --- --- --- --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_ScaleXY_8 100 206 17408 72 3240 1.0 --- --- --- --- --- --- --- --- --- 
AMT2007_SandLayers_L4GL_FULL_nosandmap_none_none 430 212 309376 3705 170430 1.0 1.69310793238 2.23711340206 3.18337408313 --- 1.97272727273 --- 0.468008626887 --- --- 
AMT_IO_Pressure_Model_ScaleXY_2 100 218 121216 957 37323 1.0 1.42804428044 0.923627684964 1.18711656442 --- 0.774 --- --- --- --- 
AMT_IO_Pressure_Model_ScaleXY_4 100 214 43008 255 9945 1.0 --- --- --- --- --- --- --- --- --- 
AMT_IO_Pressure_Model_ScaleXY_8 100 21 540 72 2736 1.0 --- --- --- --- --- --- --- --- --- 
AMT_IO_Pressure_Model_none_none 378 216 426412 3705 144495 1.0 1.62349799733 1.7803806735 2.32061068702 --- 1.96129032258 --- --- --- --- 
Acquifer-00M03_ScaleXY_2 100 7 1433 121 6655 1.0 --- --- --- --- --- --- --- --- --- 
Acquifer-00M03_ScaleXY_4 100 7 200 36 1980 1.0 --- --- --- --- --- --- --- --- --- 
Acquifer-00M03_ScaleXY_8 100 116 1945 9 477 1.0 --- --- --- --- --- --- --- --- --- 
Acquifer-00M03_none_none 100 119 21452 441 24255 1.0 0.0294117647059 0.0357142857143 0.0408163265306 --- 0.0285714285714 --- 0.0106382978723 --- 0.00724637681159 
AdvecTest_ScaleXY_2 100 91 9368 676 14872 1.0 1.4693877551 2.0 1.89473684211 --- 1.18032786885 --- --- --- --- 
AdvecTest_none_none 177 91 30408 2601 57222 1.0 1.55605381166 2.4609929078 3.33653846154 --- 3.27358490566 --- --- --- --- 
AdvectionErosionTest_ScaleXY_2 100 91 16596 676 14872 1.0 1.45833333333 1.89189189189 1.94444444444 --- 1.20689655172 --- --- --- --- 
AdvectionErosionTest_none_none 177 91 27544 2601 57222 1.0 1.49561403509 2.41843971631 3.37623762376 --- 2.58333333333 --- --- --- --- 
AdvectionFault_ScaleXY_2 100 105 21424 289 5202 1.0 1.11111111111 1.0 0.769230769231 --- 0.467289719626 --- --- --- --- 
AdvectionFault_none_none 100 105 29980 1089 19602 1.0 2.0 2.65853658537 2.59523809524 --- 1.71653543307 --- --- --- --- 
AlphaTestFullRes_ScaleXY_2 100 116 115596 729 24786 1.0 2.0 1.61052631579 1.49268292683 --- 0.879310344828 --- --- --- --- 
AlphaTestFullRes_none_none 247 116 193684 2862 97308 1.0 1.57519788918 1.77678571429 2.08013937282 --- 1.592 --- --- --- --- 
BIM9474FracturePressure_none_none 100 24 324 4 48 1.0 --- 0.2 --- --- --- --- --- --- --- 
BigProject-44M18_ScaleXY_2 22633 182 5592624 263169 8158239 1.0 --- 4.0 6.75111363983 --- 12.586138204 --- 22.9325916847 --- --- 
BigProject-44M18_ScaleXY_4 5681 182 2708040 66049 2047519 1.0 1.76219668881 2.64441139206 4.17753024106 --- 7.28437025797 --- 11.0557346845 --- 11.0684805165 
BigProject-44M18_ScaleXY_8 1432 182 913567 16641 515871 1.0 1.78407960199 3.04931972789 4.89088925259 --- 6.71032934132 --- 7.44601328904 --- 4.88023952096 
BigProject-44M18_none_none 90354 179 19922944 1050625 32569375 1.0 --- --- --- --- --- --- 32.0 --- 61.1440905687 
BrowseExtensionHigh3_ScaleXY_8 1152 437 1468006 4760 514080 1.0 --- 5.35348014789 --- --- --- --- --- --- --- 
CA1_scenario2_ScaleXY_2 387 610 810747 3510 161460 1.0 1.3711790393 1.83625730994 1.49880668258 --- 1.03331962155 --- --- --- --- 
CA1_scenario2_ScaleXY_4 100 606 452276 897 39468 1.0 1.06191117093 1.14182344428 0.485239852399 --- 0.45818815331 --- --- --- --- 
CA1_scenario2_ScaleXY_8 100 597 86016 240 10560 1.0 --- --- --- --- --- --- --- --- --- 
CA1_scenario2_none_none 1518 613 2882146 13795 634570 1.0 1.5362076818 2.41676618104 2.98671782763 --- 2.43948891032 --- --- --- --- 
F3_Salt_none_none 100 65 768 4 208 1.0 --- --- --- --- --- --- --- --- --- 
F3_SeaBed_none_none 100 87 828 4 208 1.0 --- 0.230769230769 --- --- --- --- --- --- --- 
FriesianSMTest_ScaleXY_2 263 208 192512 1728 117504 1.0 --- --- --- --- --- --- --- --- --- 
FriesianSMTest_ScaleXY_4 100 202 55296 432 28080 1.0 --- --- --- --- --- --- --- --- --- 
FriesianSMTest_ScaleXY_8 100 23 2662 108 6804 1.0 --- --- --- --- --- --- --- --- --- 
Friesian_ScaleXY_2 263 207 183884 1728 117504 1.0 1.56470588235 2.48930481283 2.909375 --- 2.08277404922 --- --- --- --- 
Friesian_ScaleXY_4 100 202 52224 432 28080 1.0 1.296875 1.5 1.33155080214 --- 0.783018867925 --- 0.46282527881 --- --- 
Friesian_ScaleXY_8 100 196 21504 108 6804 1.0 --- --- --- --- --- --- --- --- --- 
Friesian_none_none 1037 209 776178 6816 463488 1.0 1.70738306919 2.9135883905 2.40315560392 --- 4.79587404995 --- --- --- --- 
Greater_Mars_Ursa_ScaleXY_2 555 591 414292 2331 249417 1.0 1.62097162097 2.61240310078 1.24630177515 --- 3.4994807892 --- --- --- --- 
Greater_Mars_Ursa_ScaleXY_4 145 557 116896 608 62624 1.0 1.50892857143 2.04106280193 0.27144233858 --- 1.07506361323 --- --- --- --- 
Greater_Mars_Ursa_ScaleXY_8 100 520 43008 160 15200 1.0 --- --- --- --- --- --- --- --- --- 
Greater_Mars_Ursa_none_none 2085 600 1619412 8760 954840 1.0 1.76492359121 3.06193040597 4.85803483405 --- 5.64452080947 --- --- --- --- 
Gron_Olaf_nod_newHC_ScaleXY_2 1620 120 6266124 17604 880200 1.0 1.16745144202 1.44045025418 1.4579198824 --- 0.919138090825 --- --- --- --- 
Gron_Olaf_nod_newHC_ScaleXY_4 408 120 1502864 4428 221400 1.0 0.651337400282 0.921646746348 0.567689161554 --- 0.462820940313 --- 0.0710919893464 --- --- 
Gron_Olaf_nod_newHC_ScaleXY_8 102 120 457372 1107 50922 1.0 1.53234960272 1.19893428064 0.908479138627 --- 0.452109845948 --- 0.331369661267 --- --- 
Gron_Olaf_nod_newHC_none_none 4680 122 15319912 50861 2593911 1.0 1.41249375312 1.98149186764 0.826239476146 --- 2.16416539051 --- 0.838395823446 --- --- 
HB_test_sand_none_none 100 111 5222 202 4646 1.0 --- 1.37837837838 --- --- --- --- --- --- --- 
HPHTLwrRchLwTOC_ScaleXY_2 100 805 127144 676 30420 1.0 1.38815789474 1.10858143608 1.15510948905 --- 0.643947100712 --- --- --- --- 
HPHTLwrRchLwTOC_ScaleXY_4 100 798 45056 169 7098 1.0 --- --- --- --- --- --- --- --- --- 
HPHTLwrRchLwTOC_ScaleXY_8 100 780 25600 49 2058 1.0 --- --- --- --- --- --- --- --- --- 
