# dont use tabs for spacing
# param x y z value wellindex, wellfile
#well1 "Temperature" 50 50 4993.0 190
# Temperature 50 50 4993.0 190 1 Point_50_east__50_north_PTCoupled.well

VrVec2 50 50 2290 0.28 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 2440 0.33 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 2540 0.38 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 2630 0.43 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 2750 0.45 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 3100 0.57 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 3200 0.64 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 3390 0.68 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 3518 0.67 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 3556 0.91 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 3783 1.07 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 3979 1.06 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4187  1.3 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4343 1.59 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4498 2.18 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4598 2.18 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4602  2.4 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4707 2.86 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4755 2.98 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4813 3.16 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 4893 3.38 1 Point_50_east__50_north_PTCoupled.well
VrVec2 50 50 5004.8 3.54 1 Point_50_east__50_north_PTCoupled.well
